Company ID	Company Name (Korean)	Company Name (English)	기업설명	매출	누적투자금액 (억원)	직원수	카테고리	키워드
CP00002630	마인드로직	Mindlogic Inc.	AI 기반 대화형 모바일 앱 '가상남녀'를 운영하는 기업	91266000	70.0	16	콘텐츠/예술,소셜미디어/커뮤니티,AI/딥테크/블록체인	메세지 ,인공지능,딥러닝/머신러닝,자연어처리/텍스트마이닝,B2C,구독,광고,APP
CP00000098	스테이지파이브	STAGEFIVE CO., LTD.	알뜰폰 플랫폼 '핀다이렉트'를 운영하는 기업	44263687000	780.0	76	통신/보안/데이터	통신/네트워크/5G,B2C,플랫폼/마켓플레이스,구독,WEB,기타서비스 
CP00012094	텐바이텐	Ten By Ten Inc.	디자인소품 및 아이디어상품 커머스 플랫폼 '텐바이텐'을 운영하는 기업	32443001000	None	104	커머스,콘텐츠/예술,홈리빙/펫	이커머스,디자인,생활용품/소품,B2C,플랫폼/마켓플레이스,APP,WEB,상품/하드웨어
CP00000805	큐엠아이티	QMIT CO.,LTD	스포츠 데이터 플랫폼 '플코'를 서비스하는 기업	1436480000	75.0	42	헬스케어/바이오,피트니스/스포츠	스포츠/운동,B2C,상품판매/브랜드/하드웨어,WEB
CP00012623	퍼스트몽키즈	FIRST MONKEES CORP	바이오 취업 대상 부트캠프 '비긴랩'을 운영하는 기업	39309000	None	None	헬스케어/바이오,교육	바이오/의료,성인실무교육,비대면교육,개인화교육,B2C,교육/컨설팅/용역,에듀테크
CP00015857	오드아이	AUDAI INC.	AI 기반 보컬 생성 솔루션 ‘Vox Factory’를 개발하는 기업	3000000	None	None	콘텐츠/예술,AI/딥테크/블록체인	음악,프로그래밍개발,인공지능,B2B,B2C,WEB,버추얼 휴먼
CP00016110	트리거스	TEURIGEOSEU CO.,LTD.	돈 버는 영어단어 퀴즈 플랫폼 ‘똑똑보카’를 운영하는 기업 	None	None	None	교육,광고/마케팅	영어,리워드,B2C,플랫폼/마켓플레이스,광고,APP,콘텐츠,교육/컨설팅/용역
CP00003194	파이프트리스마트팜	PAIPTREE SMARTFARM INC.	AI 기반 양계농가 질병예찰 및 생산운영효율 향상 시스템을 개발하는 기업	193345000	31.9	15	푸드/농업,통신/보안/데이터,AI/딥테크/블록체인	축산업,프로그래밍개발,인공지능,B2B,SaaS/엔터프라이즈,용역,소프트웨어,교육/컨설팅/용역,O2O
CP00000382	스페이스애드	SPACE ADD CO.,LTD.	유휴공간을 활용 기반 디지털 옥외광고상품을 개발하는 기업	24324068000	126.0	88	광고/마케팅	애드테크,B2B,광고,상품/하드웨어
CP00000297	모비두	MOBIDOO CO.,LTD.	라이브 커머스 플랫폼 '소스' 및 SaaS형태 라이브 커머스 솔루션 서비스 '소스라이브 솔루션'등을 운영하는 기업	9778084000	165.0	55	커머스	라이브커머스,B2B,B2C,플랫폼/마켓플레이스,SaaS/엔터프라이즈,APP,WEB,소프트웨어,비대면/무인시스템/Untact
